[@@Culture:ru-RU"
AccProduct;Description;"Default service item for handling the process of requesting delegations. (Predefined service item).";"Default service item for handling the process of requesting delegations. (Predefined service item).";"Елемент служби за промовчанням для обробки запитів делегування. (Попередньо визначений елемент служби.)"
AccProduct;Description;"Default service item for requesting devices(Predefined service item).";"Default service item for requesting devices. (Predefined service item).";"Елемент служби за промовчанням для запиту пристрою. (Попередньо визначений елемент служби.)"
AccProduct;Description;"Default service item for requesting entitlement assignments to roles. (Predefined service item).";"Default service item for requesting entitlement assignments to roles. (Predefined service item).";"Елемент служби за промовчанням для запиту призначень ролей. (Попередньо визначений елемент служби.)"
AccProduct;Description;"Default service item for requesting role memberships. (Predefined service item).";"Default service item for requesting role memberships. (Predefined service item).";"Елемент служби за промовчанням для запиту членства в ролі. (Попередньо визначений елемент служби.)"
AccProduct;Description;"For handling the process of extending the permissions inherited from a membership that already got lost. (Predefined service item).";"For handling the process of extending the permissions inherited from a membership that already got lost. (Predefined service item).";"Для обробки процесу розширення прав, успадкованих від раніше втраченого членства. (Попередньо визначений елемент служби.)"
AccProduct;Description;"For handling the process of the assignment of a new manager. (Predefined service item).";"For handling the process of the assignment of a new manager. (Predefined service item).";"Для обробки процесу призначення нового керівника. (Попередньо визначений елемент служби.)"
AccProduct;Description;"For requesting a new Starling 2FA token. (Predefined service item).";"For requesting a new Starling 2FA token. (Predefined service item).";"Щоб запросити новий токен Starling 2FA. (Попередньо визначений елемент служби.)"
AccProduct;Description;"Predefined service item.";"Predefined service item.";"Попередньо визначений елемент служби."
AccProduct;Ident_AccProduct;"Challenge loss of role membership";"Challenge loss of role membership";"Втрата членства в ролі через суперництво"
AccProduct;Ident_AccProduct;"DEFAULT_ACCPRODUCT";"Default service item";"Елемент служби за промовчанням"
AccProduct;Ident_AccProduct;"Delegation";"Delegation";"Делегація"
AccProduct;Ident_AccProduct;"New manager assignment";"New manager assignment";"Призначення нового керівника"
AccProduct;Ident_AccProduct;"New Starling 2FA token";"New Starling 2FA token";"Новий маркер Starling 2FA"
AccProduct;Ident_AccProduct;"Role entitlement assignment";"Role entitlement assignment";"Призначення прав ролей"
AccProduct;Ident_AccProduct;"Role membership";"Role membership";"Рішення про затвердження затверджуюальною особою переноситься на наступні етапи затвердження в порядку, що виконується ним."
AccProduct;Ident_AccProduct;"Standard computer";"Default computer";"Комп'ютер за промовчанням"
AccProductGroup;FullPath;"Access Lifecycle";"Access Lifecycle";"Життєвий цикл доступу"
AccProductGroup;Ident_AccProductGroup;"Access Lifecycle";"Access Lifecycle";"Життєвий цикл доступу"
AERole;Description;"All permissions for self-registration in Web Portal are assigned to the application role. All new external employees are assigned to this application role and obtain the resources dynamically.";"All permissions for self-registration in Web Portal are assigned to the application role. All new external employees are assigned to this application role and obtain the resources dynamically.";"Всі права на реєстрацію самослужи на веб-порталі призначаються ролям додатків. Всі нові зовнішні співробітники призначаються на цю роль програми і отримують ресурси динамічно."
AERole;Description;"All resources labeled for automatic assignment to all employees are assigned to the application role. All internal employees are assigned to this application role and obtain the resources dynamically.";"All resources labeled for automatic assignment to all employees are assigned to the application role. All internal employees are assigned to this application role and obtain the resources dynamically.";"Усі ресурси, які перевіряються на автоматичне призначення всім працівникам, призначаються ролі застосунку. Всі внутрішні співробітники призначаються на цю роль програми і отримують ресурси динамічно."
AERole;Description;"Members of this application role and its child roles are allowed to edit departments, cost centers and locations. They edit application roles in the category "Organizations" and specify their members.";"Members of this application role and its child roles are allowed to edit departments, cost centers and locations. They edit application roles in the category "Organizations" and specify their members.";"": "Your Client (working) ---> Gateway (working) ---> API "
AERole;Description;"Members of this application role and its child roles are allowed to edit employee data.";"Members of this application role and its child roles are allowed to edit employee data.";"Особам, які відіграють цю роль у додатку та його дочірніх вузлах, дозволяється редагувати дані працівників."
AERole;Description;"Members of this application role and its child roles are allowed to edit IT Shop structures. They edit application roles in the category "IT Shop" and specify their members.";"Members of this application role and its child roles are allowed to edit IT Shop structures. They edit application roles in the category "IT Shop" and specify their members.";"": "Your Client (working) ---> Gateway (working) ---> API "
AERole;Description;"Members of this application role and its child roles are allowed to perform IT Shop approvals, if approval procedure ID, IP or IL (approvers (IT) of department, cost center or location) is used.";"Members of this application role and its child roles are allowed to perform IT Shop approvals, if approval procedure ID, IP or IL (approvers (IT) of department, cost center or location) is used.";"Особам, які відіграють цю роль у застосуванні та його дочірніх вузлах, дозволяється затверджувати запити IT-супермаркетів за ідентифікатором, IP або IL (відділом затвердження (IT), центром витрат або сайтом)."
AERole;Description;"Members of this application role and its child roles are allowed to perform IT Shop approvals, if approval procedure OA (Product manager) is used. They can edit service items and service categories.";"Members of this applicat
